company,domain,contact_candidate,source,source_url
Eight Sleep,eightsleep.com,partnerships@eightsleep.com,alias_pattern,https://eightsleep.com/contact
Eight Sleep,eightsleep.com,partners@eightsleep.com,alias_pattern,https://eightsleep.com/contact
Eight Sleep,eightsleep.com,partnership@eightsleep.com,alias_pattern,https://eightsleep.com/contact
Eight Sleep,eightsleep.com,sponsorships@eightsleep.com,alias_pattern,https://eightsleep.com/contact
Eight Sleep,eightsleep.com,hello@eightsleep.com,alias_pattern,https://eightsleep.com/contact
Eight Sleep,eightsleep.com,press@eightsleep.com,alias_pattern,https://eightsleep.com/contact
Eight Sleep,eightsleep.com,(check page),manual_page,https://eightsleep.com/contact
Eight Sleep,eightsleep.com,(check page),manual_page,https://eightsleep.com/pages/contact
Eight Sleep,eightsleep.com,(check page),manual_page,https://eightsleep.com/partners
Eight Sleep,eightsleep.com,(check page),manual_page,https://eightsleep.com/affiliate
Oura,ouraring.com,partnerships@ouraring.com,alias_pattern,https://ouraring.com/contact
Oura,ouraring.com,partners@ouraring.com,alias_pattern,https://ouraring.com/contact
Oura,ouraring.com,partnership@ouraring.com,alias_pattern,https://ouraring.com/contact
Oura,ouraring.com,sponsorships@ouraring.com,alias_pattern,https://ouraring.com/contact
Oura,ouraring.com,hello@ouraring.com,alias_pattern,https://ouraring.com/contact
Oura,ouraring.com,press@ouraring.com,alias_pattern,https://ouraring.com/contact
Oura,ouraring.com,(check page),manual_page,https://ouraring.com/contact
Oura,ouraring.com,(check page),manual_page,https://ouraring.com/pages/contact
Oura,ouraring.com,(check page),manual_page,https://ouraring.com/partners
Oura,ouraring.com,(check page),manual_page,https://ouraring.com/affiliate
Whoop,whoop.com,partnerships@whoop.com,alias_pattern,https://whoop.com/contact
Whoop,whoop.com,partners@whoop.com,alias_pattern,https://whoop.com/contact
Whoop,whoop.com,partnership@whoop.com,alias_pattern,https://whoop.com/contact
Whoop,whoop.com,sponsorships@whoop.com,alias_pattern,https://whoop.com/contact
Whoop,whoop.com,hello@whoop.com,alias_pattern,https://whoop.com/contact
Whoop,whoop.com,press@whoop.com,alias_pattern,https://whoop.com/contact
Whoop,whoop.com,(check page),manual_page,https://whoop.com/contact
Whoop,whoop.com,(check page),manual_page,https://whoop.com/pages/contact
Whoop,whoop.com,(check page),manual_page,https://whoop.com/partners
Whoop,whoop.com,(check page),manual_page,https://whoop.com/affiliate
Levels,levelshealth.com,partnerships@levelshealth.com,alias_pattern,https://levelshealth.com/contact
Levels,levelshealth.com,partners@levelshealth.com,alias_pattern,https://levelshealth.com/contact
Levels,levelshealth.com,partnership@levelshealth.com,alias_pattern,https://levelshealth.com/contact
Levels,levelshealth.com,sponsorships@levelshealth.com,alias_pattern,https://levelshealth.com/contact
Levels,levelshealth.com,hello@levelshealth.com,alias_pattern,https://levelshealth.com/contact
Levels,levelshealth.com,press@levelshealth.com,alias_pattern,https://levelshealth.com/contact
Levels,levelshealth.com,(check page),manual_page,https://levelshealth.com/contact
Levels,levelshealth.com,(check page),manual_page,https://levelshealth.com/pages/contact
Levels,levelshealth.com,(check page),manual_page,https://levelshealth.com/partners
Levels,levelshealth.com,(check page),manual_page,https://levelshealth.com/affiliate
Apollo Neuro,apolloneuro.com,partnerships@apolloneuro.com,alias_pattern,https://apolloneuro.com/contact
Apollo Neuro,apolloneuro.com,partners@apolloneuro.com,alias_pattern,https://apolloneuro.com/contact
Apollo Neuro,apolloneuro.com,partnership@apolloneuro.com,alias_pattern,https://apolloneuro.com/contact
Apollo Neuro,apolloneuro.com,sponsorships@apolloneuro.com,alias_pattern,https://apolloneuro.com/contact
Apollo Neuro,apolloneuro.com,hello@apolloneuro.com,alias_pattern,https://apolloneuro.com/contact
Apollo Neuro,apolloneuro.com,press@apolloneuro.com,alias_pattern,https://apolloneuro.com/contact
Apollo Neuro,apolloneuro.com,(check page),manual_page,https://apolloneuro.com/contact
Apollo Neuro,apolloneuro.com,(check page),manual_page,https://apolloneuro.com/pages/contact
Apollo Neuro,apolloneuro.com,(check page),manual_page,https://apolloneuro.com/partners
Apollo Neuro,apolloneuro.com,(check page),manual_page,https://apolloneuro.com/affiliate
